"","country_code","country_name","date","s1_school_closing","s1_is_general","s2_workplace_closing","s2_is_general","s3_cancel_public_events","s3_is_general","s4_close_public_transport","s4_is_general","s5_public_information_campaigns","s5_is_general","s6_restrictions_on_internal_movement","s6_is_general","s7_international_travel_controls","s8_fiscal_measures","s9_monetary_measures","s10_emergency_investment_in_health_care","s11_investment_in_vaccines","s12_testing_framework","s13_contact_tracing","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","hospital_beds_per_million","people_per_sq_km","gdp_percap","population_millions","age_percent_0_to_14","age_percent_15_to_64","age_percent_65_UP","deaths_per_million","cases_per_million","spare_beds_per_million"
"32","ABW","Aruba",20200416,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,93,1,NA,NA,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"33","ABW","Aruba",20200117,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,93,1,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"34","ABW","Aruba",20200118,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,93,1,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"35","ABW","Aruba",20200119,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,93,1,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,878.643299163872,NA
"73","ABW","Aruba",20200417,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,95,1,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,9.44777741036421,897.5388539846,NA
"74","ABW","Aruba",20200418,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,96,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"75","ABW","Aruba",20200323,2,1,NA,NA,2,1,0,1,1,1,2,NA,3,NA,NA,0,0,0,0,96,2,66.67,66.67,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"76","ABW","Aruba",20200322,2,1,NA,NA,2,1,0,1,1,1,2,NA,3,NA,NA,0,0,0,0,96,2,66.67,66.67,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"77","ABW","Aruba",20200312,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,96,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"102","ABW","Aruba",20200419,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,96,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"103","ABW","Aruba",20200212,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,96,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,906.986631394964,NA
"104","ABW","Aruba",20200421,2,1,2,1,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,97,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"105","ABW","Aruba",20200422,2,1,2,1,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,97,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"106","ABW","Aruba",20200227,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,97,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"107","ABW","Aruba",20200228,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,97,2,0,0,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"112","ABW","Aruba",20200420,2,1,2,1,2,1,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,97,2,NA,85.71,NA,588.0277778,39454.62983,0.105845,17.80244697,68.64660589,13.55094714,18.8955548207284,916.434408805329,NA
"127","AFG","Afghanistan",20200420,2,1,NA,NA,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,996,33,NA,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.887755765798838,26.7940831132013,473.205916886799
"143","AFG","Afghanistan",20200422,NA,NA,NA,NA,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,1092,36,NA,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.968460835416914,29.3766453409797,470.62335465902
"144","AFG","Afghanistan",20200314,2,1,0,NA,2,0,0,NA,1,1,0,1,1,2.5e+07,NA,2.5e+07,0,1,1,1092,36,42.86,42.86,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.968460835416914,29.3766453409797,470.62335465902
"177","AFG","Afghanistan",20200329,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,106,3,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0807050696180762,2.85157912650536,497.148420873495
"178","AFG","Afghanistan",20200404,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,235,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,6.32189712008263,493.678102879917
"179","AFG","Afghanistan",20200402,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,192,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,5.16512445555687,494.834875544443
"180","AFG","Afghanistan",20200403,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,235,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,6.32189712008263,493.678102879917
"188","AFG","Afghanistan",20200412,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,555,18,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.484230417708457,14.9304378793441,485.069562120656
"192","AFG","Afghanistan",20200325,2,1,0,NA,2,0,0,NA,1,1,2,0,1,0,NA,0,0,1,1,42,1,52.38,52.38,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0269016898726921,1.12987097465307,498.870129025347
"193","AFG","Afghanistan",20200414,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,665,21,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.564935487326533,17.8896237653402,482.11037623466
"194","AFG","Afghanistan",20200407,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,337,7,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.188311829108844,9.06586948709722,490.934130512903
"195","AFG","Afghanistan",20200405,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,270,5,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.13450844936346,7.26345626562685,492.736543734373
"196","AFG","Afghanistan",20200406,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,299,7,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.188311829108844,8.04360527193492,491.956394728065
"200","AFG","Afghanistan",20200415,2,1,2,0,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,714,23,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.618738867071917,19.2078065691021,480.792193430898
"202","AFG","Afghanistan",20200401,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,166,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,4.46568051886688,495.534319481133
"203","AFG","Afghanistan",20200304,0,NA,0,NA,2,0,0,NA,1,1,0,1,1,0,NA,0,0,1,1,166,4,28.57,28.57,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,4.46568051886688,495.534319481133
"204","AFG","Afghanistan",20200331,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,141,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,3.79313827204958,496.20686172795
"205","AFG","Afghanistan",20200310,0,NA,0,NA,2,0,0,NA,1,1,0,1,1,0,NA,0,0,1,1,141,4,28.57,28.57,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,3.79313827204958,496.20686172795
"209","AFG","Afghanistan",20200418,2,1,2,0,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,845,30,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.807050696180762,22.7319279424248,477.268072057575
"210","AFG","Afghanistan",20200410,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,484,15,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.403525348090381,13.020417898383,486.979582101617
"211","AFG","Afghanistan",20200408,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,367,11,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.295918588599613,9.87292018327798,490.127079816722
"212","AFG","Afghanistan",20200413,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,607,18,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.484230417708457,16.3293257527241,483.670674247276
"213","AFG","Afghanistan",20200409,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,423,14,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.376623658217689,11.3794148161487,488.620585183851
"214","AFG","Afghanistan",20200411,2,1,2,0,2,0,2,0,1,1,2,0,1,127711935,NA,54577750,0,1,1,521,15,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.403525348090381,14.0157804236726,485.984219576327
"215","AFG","Afghanistan",20200416,2,1,2,0,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,784,25,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.672542246817301,21.0909248601906,478.909075139809
"216","AFG","Afghanistan",20200417,2,1,2,0,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,794,29,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.78014900630807,21.3599417589175,478.640058241082
"217","AFG","Afghanistan",20200419,2,1,NA,NA,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,908,30,NA,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.807050696180762,24.4267344044044,475.573265595596
"218","AFG","Afghanistan",20200327,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,75,1,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0269016898726921,2.0176267404519,497.982373259548
"220","AFG","Afghanistan",20200421,2,1,NA,NA,2,0,2,0,1,1,2,0,1,NA,NA,NA,0,1,1,1031,35,NA,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.941559145544222,27.7356422587455,472.264357741255
"221","AFG","Afghanistan",20200326,2,1,2,0,2,0,0,NA,1,1,2,0,1,0,NA,0,0,1,1,75,1,61.9,61.9,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0269016898726921,2.0176267404519,497.982373259548
"224","AFG","Afghanistan",20200330,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,114,4,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.107606759490768,3.06679264548689,496.933207354513
"225","AFG","Afghanistan",20200324,2,1,0,NA,2,0,0,NA,1,1,2,0,1,0,NA,0,0,1,1,40,1,52.38,52.38,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0269016898726921,1.07606759490768,498.923932405092
"226","AFG","Afghanistan",20200303,0,NA,0,NA,2,0,0,NA,1,1,0,1,1,0,NA,0,0,1,1,40,1,28.57,28.57,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0269016898726921,1.07606759490768,498.923932405092
"227","AFG","Afghanistan",20200328,2,1,2,0,2,0,2,0,1,1,2,0,1,0,NA,0,0,1,1,91,2,71.43,71.43,500,56.93776001,1955.006208,37.172386,43.09017551,54.32489755,2.58492694,0.0538033797453841,2.44805377841498,497.551946221585
"230","AGO","Angola",20200411,2,1,2,1,2,1,0,1,0,1,2,1,3,0,0,0,0,2,0,19,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"231","AGO","Angola",20200307,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,19,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"232","AGO","Angola",20200205,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,19,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"233","AGO","Angola",20200206,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,19,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"234","AGO","Angola",20200207,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,19,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"235","AGO","Angola",20200208,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,19,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"236","AGO","Angola",20200319,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,1,0,19,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"237","AGO","Angola",20200227,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,19,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"238","AGO","Angola",20200314,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,19,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"239","AGO","Angola",20200331,2,1,2,1,2,1,0,1,0,1,2,1,3,0,0,0,0,1,0,7,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"240","AGO","Angola",20200120,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"241","AGO","Angola",20200121,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"242","AGO","Angola",20200122,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"243","AGO","Angola",20200123,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"244","AGO","Angola",20200410,2,1,2,1,2,1,0,1,0,1,2,1,3,0,0,0,0,2,0,19,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"252","AGO","Angola",20200405,2,1,2,1,2,1,0,1,0,1,2,1,3,9e+06,0,0,0,2,0,10,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.324572452068925,799.675427547931
"253","AGO","Angola",20200201,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,10,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.324572452068925,799.675427547931
"254","AGO","Angola",20200330,2,1,2,1,2,1,0,1,0,1,2,1,3,0,0,0,0,1,0,7,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"255","AGO","Angola",20200218,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"256","AGO","Angola",20200301,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"257","AGO","Angola",20200302,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"258","AGO","Angola",20200303,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"259","AGO","Angola",20200304,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"260","AGO","Angola",20200305,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"261","AGO","Angola",20200321,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,1,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"262","AGO","Angola",20200226,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"263","AGO","Angola",20200211,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"264","AGO","Angola",20200128,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"265","AGO","Angola",20200129,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"266","AGO","Angola",20200130,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"267","AGO","Angola",20200131,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"268","AGO","Angola",20200312,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"269","AGO","Angola",20200108,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"270","AGO","Angola",20200306,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"271","AGO","Angola",20200219,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"272","AGO","Angola",20200220,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"273","AGO","Angola",20200221,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"274","AGO","Angola",20200222,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"275","AGO","Angola",20200209,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"276","AGO","Angola",20200210,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"277","AGO","Angola",20200116,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"278","AGO","Angola",20200313,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,7,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"279","AGO","Angola",20200217,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,7,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.227200716448248,799.772799283552
"293","AGO","Angola",20200404,2,1,2,1,2,1,0,1,0,1,2,1,3,9e+06,0,0,0,2,0,8,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.25965796165514,799.740342038345
"294","AGO","Angola",20200308,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,8,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.25965796165514,799.740342038345
"295","AGO","Angola",20200202,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,8,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.25965796165514,799.740342038345
"296","AGO","Angola",20200203,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,8,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.25965796165514,799.740342038345
"297","AGO","Angola",20200204,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,8,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.25965796165514,799.740342038345
"298","AGO","Angola",20200229,0,NA,0,NA,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,8,2,9.52,9.52,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.25965796165514,799.740342038345
"299","AGO","Angola",20200408,2,1,2,1,2,1,0,1,0,1,2,1,3,9e+06,0,0,0,2,0,17,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.551773168517173,799.448226831483
"300","AGO","Angola",20200409,2,1,2,1,2,1,0,1,0,1,2,1,3,0,0,0,0,2,0,19,2,71.43,71.43,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"301","AGO","Angola",20200315,0,NA,0,1,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,19,2,14.29,14.29,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"302","AGO","Angola",20200101,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,19,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"303","AGO","Angola",20200102,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,19,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"304","AGO","Angola",20200103,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,19,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
"305","AGO","Angola",20200104,0,NA,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,19,2,0,0,800,24.71305206,6452.355165,30.809762,46.80892471,50.97470164,2.216373648,0.0649144904137851,0.616687658930958,799.383312341069
